specimenID       plantName        totalHeight (cm) totalWidth (cm)  stemNumbers      flowerColoer     petalNumbers    
1001             Maple            6                162.76           232.76          

stemID           locationX        locationY        stemLength       radians         
0                0.00             0.00             60.00            90.00           
1                0.00             60.00            55.00            120.00          
2                0.00             60.00            55.00            60.00           
3                44.78            91.93            50.00            150.00          
4                44.78            91.93            50.00            90.00           
5                -52.38           43.24            50.00            90.00           
6                -52.38           43.24            50.00            30.00           
7                79.74            56.19            45.00            180.00          
8                79.74            56.19            45.00            120.00          
9                22.38            136.63           45.00            120.00          
10               22.38            136.63           45.00            60.00           
11               -74.79           87.94            45.00            120.00          
12               -74.79           87.94            45.00            60.00           
13               -44.67           0.00             45.00            60.00           
14               -44.67           0.00             45.00            0.00            
15               52.81            20.14            40.00            210.00          
16               52.81            20.14            40.00            150.00          
17               116.38           82.32            40.00            150.00          
18               116.38           82.32            40.00            90.00           
19               59.01            162.76           40.00            150.00          
20               59.01            162.76           40.00            90.00           
21               -20.48           122.92           40.00            90.00           
22               -20.48           122.92           40.00            30.00           
23               -38.15           114.06           40.00            150.00          
24               -38.15           114.06           40.00            90.00           
25               -117.64          74.22            40.00            90.00           
26               -117.64          74.22            40.00            30.00           
27               -87.53           0.00             40.00            90.00           
28               -87.53           0.00             40.00            30.00           
29               0.33             0.00             40.00            30.00           
30               0.33             0.00             40.00            -30.00          
31               17.46            38.85            35.00            240.00          

---------------------------------------------------------------------------------------------------------
specimenID       plantName        totalHeight (cm) totalWidth (cm)  stemNumbers      flowerColoer     petalNumbers    
1002             PhoenixTree      6                182.09           223.16          

stemID           locationX        locationY        stemLength       radians         
32               0.00             0.00             60.00            90.00           
33               0.00             60.00            55.00            110.00          
34               0.00             60.00            55.00            70.00           
35               -54.95           57.57            50.00            130.00          
36               -54.95           57.57            50.00            90.00           
37               34.83            102.56           50.00            90.00           
38               34.83            102.56           50.00            50.00           
39               -73.31           11.06            45.00            150.00          
40               -73.31           11.06            45.00            110.00          
41               -77.35           102.27           45.00            110.00          
42               -77.35           102.27           45.00            70.00           
43               12.43            147.26           45.00            110.00          
44               12.43            147.26           45.00            70.00           
45               83.08            89.45            45.00            70.00           
46               83.08            89.45            45.00            30.00           
47               -41.84           0.00             40.00            170.00          
48               -41.84           0.00             40.00            130.00          
49               -118.27          9.07             40.00            130.00          
50               -118.27          9.07             40.00            90.00           
51               -122.31          100.28           40.00            130.00          
52               -122.31          100.28           40.00            90.00           
53               -48.85           137.09           40.00            90.00           
54               -48.85           137.09           40.00            50.00           
55               -32.53           145.27           40.00            130.00          
56               -32.53           145.27           40.00            90.00           
57               40.93            182.09           40.00            90.00           
58               40.93            182.09           40.00            50.00           
59               111.58           124.27           40.00            90.00           
60               111.58           124.27           40.00            50.00           
61               90.02            44.98            40.00            50.00           
62               90.02            44.98            40.00            10.00           
63               -4.32            13.87            35.00            190.00          

---------------------------------------------------------------------------------------------------------
specimenID       plantName        totalHeight (cm) totalWidth (cm)  stemNumbers      flowerColoer     petalNumbers    
1003             CamphorTree      6                83.37            139.54          

stemID           locationX        locationY        stemLength       radians         
64               0.00             0.00             60.00            90.00           
65               0.00             60.00            55.00            105.00          
66               0.00             60.00            55.00            75.00           
67               -13.25           6.62             50.00            120.00          
68               -13.25           6.62             50.00            90.00           
69               50.70            38.67            50.00            90.00           
70               50.70            38.67            50.00            60.00           
71               27.46            35.65            45.00            135.00          
72               27.46            35.65            45.00            105.00          
73               -35.66           51.32            45.00            105.00          
74               -35.66           51.32            45.00            75.00           
75               28.29            83.37            45.00            105.00          
76               28.29            83.37            45.00            75.00           
77               3.08             23.43            45.00            75.00           
78               3.08             23.43            45.00            45.00           
79               -17.37           39.63            40.00            150.00          
80               -17.37           39.63            40.00            120.00          
81               16.61            0.00             40.00            120.00          
82               16.61            0.00             40.00            90.00           
83               -46.50           7.65             40.00            120.00          
84               -46.50           7.65             40.00            90.00           
85               5.82             33.87            40.00            90.00           
86               5.82             33.87            40.00            60.00           
87               17.45            39.70            40.00            120.00          
88               17.45            39.70            40.00            90.00           
89               69.77            65.92            40.00            90.00           
90               69.77            65.92            40.00            60.00           
91               44.55            5.98             40.00            90.00           
92               44.55            5.98             40.00            60.00           
93               26.72            61.72            40.00            60.00           
94               26.72            61.72            40.00            30.00           
95               10.60            11.03            35.00            165.00          

---------------------------------------------------------------------------------------------------------
